domain,domain_display_name,model,metric_group,metric,subkey,value,count
synthetic_test,synthetic_test,ours,per_channel,far_service_left,pck,0.005=0.745455; 0.01=0.936364; 0.02=0.972727; 0.05=0.981818,110
synthetic_test,synthetic_test,ours,per_channel,far_service_left,pair_error_px.mean,12.162,110
synthetic_test,synthetic_test,ours,per_channel,far_service_right,pck,0.005=0.682243; 0.01=0.934579; 0.02=0.971963; 0.05=0.990654,107
synthetic_test,synthetic_test,ours,per_channel,far_service_right,pair_error_px.mean,5.50925,107
synthetic_test,synthetic_test,ours,per_channel,near_service_left,pck,0.005=0.808219; 0.01=0.972603; 0.02=0.986301; 0.05=1,73
synthetic_test,synthetic_test,ours,per_channel,near_service_left,pair_error_px.mean,3.69237,73
synthetic_test,synthetic_test,ours,per_channel,near_service_right,pck,0.005=0.897436; 0.01=0.987179; 0.02=1; 0.05=1,78
synthetic_test,synthetic_test,ours,per_channel,near_service_right,pair_error_px.mean,3.35261,78
synthetic_test,synthetic_test,ours,per_channel,far_service_t,pck,0.005=0.733333; 0.01=0.933333; 0.02=0.975; 0.05=0.991667,120
synthetic_test,synthetic_test,ours,per_channel,far_service_t,pair_error_px.mean,10.4487,120
synthetic_test,synthetic_test,ours,per_channel,near_service_t,pck,0.005=0.868421; 0.01=0.973684; 0.02=0.986842; 0.05=0.986842,76
synthetic_test,synthetic_test,ours,per_channel,near_service_t,pair_error_px.mean,12.1976,76
synthetic_test,synthetic_test,tcd,keypoints,completeness,,0.0280736,
synthetic_test,synthetic_test,tcd,keypoints,ground_truth_visible_keypoints,,1033,
synthetic_test,synthetic_test,tcd,keypoints,pair_error_diagonal,count,29,29
synthetic_test,synthetic_test,tcd,keypoints,pair_error_diagonal,mean,0.0986805,29
synthetic_test,synthetic_test,tcd,keypoints,pair_error_diagonal,median,0.060746,29
synthetic_test,synthetic_test,tcd,keypoints,pair_error_diagonal,q90,0.1626,29
synthetic_test,synthetic_test,tcd,keypoints,pair_error_px,count,29,29
synthetic_test,synthetic_test,tcd,keypoints,pair_error_px,mean,108.558,29
synthetic_test,synthetic_test,tcd,keypoints,pair_error_px,median,66.8262,29
synthetic_test,synthetic_test,tcd,keypoints,pair_error_px,q90,178.875,29
synthetic_test,synthetic_test,tcd,keypoints,pck,0.005,0.000968054,
synthetic_test,synthetic_test,tcd,keypoints,pck,0.01,0.00193611,
synthetic_test,synthetic_test,tcd,keypoints,pck,0.02,0.00580833,
synthetic_test,synthetic_test,tcd,keypoints,pck,0.05,0.0125847,
synthetic_test,synthetic_test,tcd,keypoints,predicted_valid_keypoints_among_visible,,29,
synthetic_test,synthetic_test,tcd,keypoints,sample_count,,120,
synthetic_test,synthetic_test,tcd,alignment,doubles_polygon_iou,count,0,0
synthetic_test,synthetic_test,tcd,alignment,doubles_polygon_iou,mean,,0
synthetic_test,synthetic_test,tcd,alignment,doubles_polygon_iou,median,,0
synthetic_test,synthetic_test,tcd,alignment,doubles_polygon_iou,q90,,0
synthetic_test,synthetic_test,tcd,alignment,ground_truth_homography_success,,120,
synthetic_test,synthetic_test,tcd,alignment,line_reprojection_diagonal,count,2,2
synthetic_test,synthetic_test,tcd,alignment,line_reprojection_diagonal,mean,1.37975,2
synthetic_test,synthetic_test,tcd,alignment,line_reprojection_diagonal,median,1.37975,2
synthetic_test,synthetic_test,tcd,alignment,line_reprojection_diagonal,q90,2.33543,2
synthetic_test,synthetic_test,tcd,alignment,line_reprojection_in_frame_diagonal,count,2,2
synthetic_test,synthetic_test,tcd,alignment,line_reprojection_in_frame_diagonal,mean,0.142058,2
synthetic_test,synthetic_test,tcd,alignment,line_reprojection_in_frame_diagonal,median,0.142058,2
synthetic_test,synthetic_test,tcd,alignment,line_reprojection_in_frame_diagonal,q90,0.156873,2
synthetic_test,synthetic_test,tcd,alignment,line_reprojection_in_frame_px,count,2,2
synthetic_test,synthetic_test,tcd,alignment,line_reprojection_in_frame_px,mean,156.277,2
synthetic_test,synthetic_test,tcd,alignment,line_reprojection_in_frame_px,median,156.277,2
synthetic_test,synthetic_test,tcd,alignment,line_reprojection_in_frame_px,q90,172.575,2
synthetic_test,synthetic_test,tcd,alignment,line_reprojection_px,count,2,2
synthetic_test,synthetic_test,tcd,alignment,line_reprojection_px,mean,1517.85,2
synthetic_test,synthetic_test,tcd,alignment,line_reprojection_px,median,1517.85,2
synthetic_test,synthetic_test,tcd,alignment,line_reprojection_px,q90,2569.18,2
synthetic_test,synthetic_test,tcd,alignment,line_samples_in_frame,,406,406
synthetic_test,synthetic_test,tcd,alignment,line_samples_in_frame_fraction,,0.0123932,
synthetic_test,synthetic_test,tcd,alignment,line_samples_total,,32760,32760
synthetic_test,synthetic_test,tcd,alignment,predicted_homography_failure_reasons,insufficient_valid_keypoints,117,
synthetic_test,synthetic_test,tcd,alignment,predicted_homography_failure_reasons,ransac_failed,1,
synthetic_test,synthetic_test,tcd,alignment,predicted_homography_inliers_on_success,count,2,2
synthetic_test,synthetic_test,tcd,alignment,predicted_homography_inliers_on_success,mean,4,2
synthetic_test,synthetic_test,tcd,alignment,predicted_homography_inliers_on_success,median,4,2
synthetic_test,synthetic_test,tcd,alignment,predicted_homography_inliers_on_success,q90,4,2
synthetic_test,synthetic_test,tcd,alignment,predicted_homography_success,,2,
synthetic_test,synthetic_test,tcd,alignment,predicted_homography_success_rate,,0.0166667,
synthetic_test,synthetic_test,tcd,alignment,sample_count,,120,
synthetic_test,synthetic_test,tcd,alignment,undefined_reasons,degenerate_polygon,2,
synthetic_test,synthetic_test,tcd,alignment,undefined_reasons,insufficient_valid_keypoints,117,
synthetic_test,synthetic_test,tcd,alignment,undefined_reasons,no_valid_prediction_court_homography,118,
synthetic_test,synthetic_test,tcd,alignment,undefined_reasons,ransac_failed,1,
synthetic_test,synthetic_test,tcd,per_channel,far_doubles_left,pck,0.005=0; 0.01=0; 0.02=0; 0.05=0.02,100
synthetic_test,synthetic_test,tcd,per_channel,far_doubles_left,pair_error_px.mean,172.796,6
synthetic_test,synthetic_test,tcd,per_channel,far_doubles_right,pck,0.005=0.00961538; 0.01=0.00961538; 0.02=0.0192308; 0.05=0.0288462,104
synthetic_test,synthetic_test,tcd,per_channel,far_doubles_right,pair_error_px.mean,62.1438,5
synthetic_test,synthetic_test,tcd,per_channel,near_doubles_left,pck,0.005=0; 0.01=0; 0.02=0; 0.05=0,19
synthetic_test,synthetic_test,tcd,per_channel,near_doubles_left,pair_error_px.mean,,0
synthetic_test,synthetic_test,tcd,per_channel,near_doubles_right,pck,0.005=0; 0.01=0; 0.02=0; 0.05=0,9
